"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1990","1990","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6453450.223,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1991","1991","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6382938.922,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1992","1992","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6497290.079,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1993","1993","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6613395.75,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1994","1994","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6700778.176,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1995","1995","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6785363.614,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1996","1996","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6990925.58,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1997","1997","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7046213.088,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1998","1998","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7094833.389,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","1999","1999","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7138140.713,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2000","2000","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7327593.209,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2001","2001","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7219162.974,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2002","2002","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7259157.149,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2003","2003","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7313828.082,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2004","2004","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7428447.644,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2005","2005","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7434827.939,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2006","2006","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7360801.267,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2007","2007","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7463786.407,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2008","2008","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7240643.548,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2009","2009","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6787264.726,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2010","2010","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7007442.261,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2011","2011","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6845087.119,,
"USA","United States","GHG","Greenhouse gases","TOTAL","Total  emissions excluding LULUCF","2012","2012","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6606523.764,,
